school_id,class,timestamp,stream
951,JSS2,02-01-2024,2
951,JSS3,02-01-2024,2
951,SSS1,02-01-2024,2
951,SSS2,02-01-2024,2
951,SSS3,02-01-2024,2
959,JSS1,02-01-2024,1
959,JSS2,02-01-2024,1
959,JSS3,02-01-2024,1
959,SSS1,02-01-2024,1
959,SSS2,02-01-2024,1
959,SSS3,02-01-2024,2
948,JSS1,02-01-2024,1
948,JSS2,02-01-2024,1
948,JSS3,02-01-2024,1
948,SSS1,02-01-2024,1
948,SSS2,02-01-2024,1
948,SSS3,02-01-2024,1
1034,JSS1,02-01-2024,1
1034,JSS2,02-01-2024,1
1034,JSS3,02-01-2024,1
1034,SSS1,02-01-2024,1
1034,SSS2,02-01-2024,0
1034,SSS3,02-01-2024,0
129,JSS1,02-01-2024,4
129,JSS2,02-01-2024,4
129,JSS3,02-01-2024,3
129,SSS1,02-01-2024,3
129,SSS2,02-01-2024,3
129,SSS3,02-01-2024,3
124,JSS1,02-01-2024,3
124,JSS2,02-01-2024,3
124,JSS3,02-01-2024,4
124,SSS1,02-01-2024,3
124,SSS2,02-01-2024,3
124,SSS3,02-01-2024,2
126,JSS1,02-01-2024,0
126,JSS2,02-01-2024,0
126,JSS3,02-01-2024,0
126,SSS1,02-01-2024,5
126,SSS2,02-01-2024,5
126,SSS3,02-01-2024,4
123,JSS1,02-01-2024,5
123,JSS2,02-01-2024,4
123,JSS3,02-01-2024,4
123,SSS1,02-01-2024,3
123,SSS2,02-01-2024,3
123,SSS3,02-01-2024,2
122,JSS1,02-01-2024,2
122,JSS2,02-01-2024,3
122,JSS3,02-01-2024,3
122,SSS1,02-01-2024,2
122,SSS2,02-01-2024,2
122,SSS3,02-01-2024,2
119,JSS1,02-01-2024,2
119,JSS2,02-01-2024,2
119,JSS3,02-01-2024,3
119,SSS1,02-01-2024,2
119,SSS2,02-01-2024,2
119,SSS3,02-01-2024,2
116,JSS1,02-01-2024,5
116,JSS2,02-01-2024,4
116,JSS3,02-01-2024,5
116,SSS1,02-01-2024,4
116,SSS2,02-01-2024,5
116,SSS3,02-01-2024,4
121,JSS1,02-01-2024,2
121,JSS2,02-01-2024,2
121,JSS3,02-01-2024,2
121,SSS1,02-01-2024,2
121,SSS2,02-01-2024,2
121,SSS3,02-01-2024,2
127,JSS1,02-01-2024,3
127,JSS2,02-01-2024,2
127,JSS3,02-01-2024,2
127,SSS1,02-01-2024,2
127,SSS2,02-01-2024,2
127,SSS3,02-01-2024,2
130,JSS1,02-01-2024,3
130,JSS2,02-01-2024,3
130,JSS3,02-01-2024,3
130,SSS1,02-01-2024,2
130,SSS2,02-01-2024,2
130,SSS3,02-01-2024,2
118,JSS1,02-01-2024,1
118,JSS2,02-01-2024,1
118,JSS3,02-01-2024,1
118,SSS1,02-01-2024,1
118,SSS2,02-01-2024,1
118,SSS3,02-01-2024,1
117,JSS1,02-01-2024,0
117,JSS2,02-01-2024,0
117,JSS3,02-01-2024,0
117,SSS1,02-01-2024,0
117,SSS2,02-01-2024,0
117,SSS3,02-01-2024,0
115,JSS1,02-01-2024,2
115,JSS2,02-01-2024,2
115,JSS3,02-01-2024,2
115,SSS1,02-01-2024,2
115,SSS2,02-01-2024,2
115,SSS3,02-01-2024,2
125,JSS1,02-01-2024,2
125,JSS2,02-01-2024,2
125,JSS3,02-01-2024,2
125,SSS1,02-01-2024,2
125,SSS2,02-01-2024,2
125,SSS3,02-01-2024,1
120,JSS1,02-01-2024,1
120,JSS2,02-01-2024,1
120,JSS3,02-01-2024,1
120,SSS1,02-01-2024,1
120,SSS2,02-01-2024,1
120,SSS3,02-01-2024,1
128,JSS1,02-01-2024,2
128,JSS2,02-01-2024,2
128,JSS3,02-01-2024,2
128,SSS1,02-01-2024,2
128,SSS2,02-01-2024,2
128,SSS3,02-01-2024,2
142,JSS1,02-01-2024,4
142,JSS2,02-01-2024,4
142,JSS3,02-01-2024,4
142,SSS1,02-01-2024,3
142,SSS2,02-01-2024,3
142,SSS3,02-01-2024,3
146,JSS1,02-01-2024,3
146,JSS2,02-01-2024,3
146,JSS3,02-01-2024,2
146,SSS1,02-01-2024,2
146,SSS2,02-01-2024,2
146,SSS3,02-01-2024,2
145,JSS1,02-01-2024,2
145,JSS2,02-01-2024,2
145,JSS3,02-01-2024,2
145,SSS1,02-01-2024,2
145,SSS2,02-01-2024,2
145,SSS3,02-01-2024,2
147,JSS1,02-01-2024,2
147,JSS2,02-01-2024,2
147,JSS3,02-01-2024,2
147,SSS1,02-01-2024,2
147,SSS2,02-01-2024,2
147,SSS3,02-01-2024,2
141,JSS1,02-01-2024,2
141,JSS2,02-01-2024,2
141,JSS3,02-01-2024,2
141,SSS1,02-01-2024,1
141,SSS2,02-01-2024,2
141,SSS3,02-01-2024,2
143,JSS1,02-01-2024,2
143,JSS2,02-01-2024,2
143,JSS3,02-01-2024,2
143,SSS1,02-01-2024,2
143,SSS2,02-01-2024,2
143,SSS3,02-01-2024,2
